Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price
38322,1211.92,434.013597,-30.65,17.170757
38353,1181.27,396.798463,22.33,-37.215134
38384,1203.6,407.412794,-23.01,10.614331
38412,1180.59,398.73199,-23.74,-8.680804
38443,1156.85,418.757187,34.65,20.025197
38473,1191.5,431.565709,-0.17,12.808522
38504,1191.33,450.868596,42.85,19.302887
38534,1234.18,481.852732,-13.85,30.984136
38565,1220.33,462.127733,8.48,-19.724999
38596,1228.81,462.102203,-21.8,-0.02553
38626,1207.01,449.938282,42.47,-12.163921
38657,1249.48,466.816543,-1.19,16.878261
38687,1248.29,462.981985,31.79,-3.834558
38718,1280.08,495.634501,0.58,32.652516
38749,1280.66,502.49647,14.21,6.861969
38777,1294.87,525.52,15.74,23.02353
38808,1310.61,504.7,-40.52,-20.82
38838,1270.09,488.5,0.11,-16.2
38869,1270.2,511.55,6.46,23.05
38899,1276.66,527.48,27.16,15.93
38930,1303.82,545.73,32.03,18.25
38961,1335.85,553.33,42.09,7.6
38991,1377.94,586.67,22.69,33.34
39022,1400.63,612.09,17.67,25.42
39052,1418.3,599.59,19.94,-12.5
39083,1438.24,648.86,-31.42,49.27
39114,1406.82,632.86,14.04,-16
39142,1420.86,615.23,61.51,-17.63
39173,1482.37,613.61,48.25,-1.62
39203,1530.62,612.12,-27.27,-1.49
39234,1503.35,554.19,-48.08,-57.93
39264,1455.27,509.77,18.72,-44.42
39295,1473.99,541.33,52.76,31.56
39326,1526.75,562.6,22.63,21.27
39356,1549.38,567.24,-68.24,4.64
39387,1481.14,514.27,-12.78,-52.97
39417,1468.36,485.36,-89.81,-28.91
39448,1378.55,478.96,-47.92,-6.4
39479,1330.63,460.38,-7.93,-18.58
39508,1322.7,486.39,62.89,26.01
39539,1385.59,513.38,14.79,26.99
39569,1400.38,515.42,-120.38,2.04
39600,1280,456.9,-12.62,-58.52
39630,1267.38,471.05,15.45,14.15
39661,1282.83,479.7,-116.47,8.65
39692,1166.36,476.28,-197.61,-3.42
39722,968.75,324.3,-72.51,-151.98
39753,896.24,247.78,7.01,-76.52
39783,903.25,285.79,-77.37,38.01
39814,825.88,235.73,-90.79,-50.06
39845,735.09,185.56,62.78,-50.17
39873,797.87,191.22,74.94,5.66
39904,872.81,249.55,46.33,58.33
39934,919.14,253.81,0.18,4.26
39965,919.32,242.83,68.16,-10.98
39995,987.48,267.59,33.14,24.76
40026,1020.62,302.32,36.46,34.73
40057,1057.08,320.19,-20.89,17.87
40087,1036.19,305.19,59.44,-15
40118,1095.63,325.14,19.47,19.95
40148,1115.1,346.6,-41.23,21.46
40179,1073.87,327.88,30.62,-18.72
40210,1104.49,344.16,64.94,16.28
40238,1169.43,377.43,17.26,33.27
40269,1186.69,402.86,-97.28,25.43
40299,1089.41,379.36,-58.7,-23.5
40330,1030.71,358.71,70.89,-20.65
40360,1101.6,392.17,-52.27,33.46
40391,1049.33,385.36,91.87,-6.81
40422,1141.2,400.92,42.06,15.56
40452,1183.26,419.01,-2.71,18.09
40483,1180.55,409.36,77.09,-9.65
40513,1257.64,426.53,28.48,17.17
40544,1286.12,439.59,41.1,13.06
40575,1327.22,458.51,-1.39,18.92
40603,1325.83,449.69,37.78,-8.82
40634,1363.61,474.53,-18.41,24.84
40664,1345.2,479.47,-24.56,4.94
40695,1320.64,461.87,-28.36,-17.6
40725,1292.28,468.17,-73.39,6.3
40756,1218.89,440.18,-87.47,-27.99
40787,1131.42,390.21,121.88,-49.97
40817,1253.3,445.54,-6.34,55.33
40848,1246.96,427.31,10.64,-18.23
40878,1257.6,444.95,54.81,17.64
40909,1312.41,473.08,53.27,28.13
